shared_distinct_shell_count,distinct_union_shell_count,union_shells,type_multiset_pair,pair_count
1,4,110 206 212 244,B B C|A B C,2
1,4,110 206 212 250,B B C|A B C,2
1,4,110 206 226 250,B C C|A B C,2
1,4,110 206 244 250,B B C|A B C,2
1,4,110 212 244 254,B B C|A B C,2
1,4,110 212 250 254,B B C|A B C,2
1,4,110 216 226 250,B C C|A B C,2
1,4,110 218 226 250,B C C|A B C,2
1,4,110 222 226 250,B C C|A B C,2
1,4,110 222 244 250,B B C|A B C,2
1,4,110 226 234 250,B C C|A B C,2
1,4,110 226 248 250,B C C|A B C,2
1,4,110 244 250 254,B B C|A B C,2
1,4,114 116 138 154,B B C|A B C,2
1,4,114 116 138 174,B B C|A B C,2
1,4,114 116 138 238,B B C|A B C,2
1,4,114 116 154 174,B B C|A B C,2
1,4,114 116 154 238,B B C|A B C,2
1,4,114 116 174 238,B B C|A B C,2
1,4,116 122 138 154,B B C|A B C,2
1,4,116 122 138 198,B B C|A B C,2
1,4,116 122 138 210,B B C|A B C,2
1,4,116 122 154 198,B B C|A B C,2
1,4,116 122 154 210,B B C|A B C,2
1,4,116 122 198 210,B B C|A B C,2
1,4,116 126 174 198,B B C|A B C,2
1,4,116 126 174 210,B B C|A B C,2
1,4,116 126 174 238,B B C|A B C,2
1,4,116 126 198 210,B B C|A B C,2
1,4,116 126 198 238,B B C|A B C,2
1,4,116 126 210 238,B B C|A B C,2
1,4,116 134 138 154,B B C|A B C,2
1,4,116 134 138 174,B B C|A B C,2
1,4,116 134 138 238,B B C|A B C,2
1,4,116 134 154 174,B B C|A B C,2
1,4,116 134 154 238,B B C|A B C,2
1,4,116 134 174 238,B B C|A B C,2
1,4,116 138 146 154,B B C|A B C,2
1,4,116 138 146 174,B B C|A B C,2
1,4,116 138 146 210,B B C|A B C,2
1,4,116 138 146 238,B B C|A B C,2
1,4,116 138 150 154,B B C|A B C,2
1,4,116 138 150 174,B B C|A B C,2
1,4,116 138 150 198,B B C|A B C,2
1,4,116 138 154 182,B B C|A B C,2
1,4,116 138 154 194,B B C|A B C,2
1,4,116 138 154 218,B B C|A B C,2
1,4,116 138 174 182,B B C|A B C,2
1,4,116 138 174 194,B B C|A B C,2
1,4,116 138 182 198,B B C|A B C,2
1,4,116 138 182 238,B B C|A B C,2
1,4,116 138 194 210,B B C|A B C,2
1,4,116 138 194 238,B B C|A B C,2
1,4,116 138 210 218,B B C|A B C,2
1,4,116 146 154 174,B B C|A B C,2
1,4,116 146 154 210,B B C|A B C,2
1,4,116 146 154 238,B B C|A B C,2
1,4,116 146 174 210,B B C|A B C,2
1,4,116 146 174 238,B B C|A B C,2
1,4,116 146 210 238,B B C|A B C,2
1,4,116 150 154 174,B B C|A B C,2
1,4,116 150 154 198,B B C|A B C,2
1,4,116 150 174 198,B B C|A B C,2
1,4,116 154 174 182,B B C|A B C,2
1,4,116 154 174 194,B B C|A B C,2
1,4,116 154 182 198,B B C|A B C,2
1,4,116 154 182 238,B B C|A B C,2
1,4,116 154 194 210,B B C|A B C,2
1,4,116 154 194 238,B B C|A B C,2
1,4,116 154 198 234,B B C|A B C,2
1,4,116 154 210 218,B B C|A B C,2
1,4,116 174 182 198,B B C|A B C,2
1,4,116 174 182 238,B B C|A B C,2
1,4,116 174 194 210,B B C|A B C,2
1,4,116 174 194 238,B B C|A B C,2
1,4,116 174 198 206,B B C|A B C,2
1,4,116 174 198 254,B B C|A B C,2
1,4,116 174 206 210,B B C|A B C,2
1,4,116 174 206 238,B B C|A B C,2
1,4,116 174 210 254,B B C|A B C,2
1,4,116 174 238 254,B B C|A B C,2
1,4,116 182 198 238,B B C|A B C,2
1,4,116 194 210 238,B B C|A B C,2
1,4,116 198 206 210,B B C|A B C,2
1,4,116 198 206 238,B B C|A B C,2
1,4,116 198 210 222,B B C|A B C,2
1,4,116 198 210 254,B B C|A B C,2
1,4,116 198 222 238,B B C|A B C,2
1,4,116 198 238 254,B B C|A B C,2
1,4,116 206 210 238,B B C|A B C,2
1,4,116 210 222 238,B B C|A B C,2
1,4,116 210 238 254,B B C|A B C,2
1,4,118 122 170 250,B C C|A B C,2
1,4,118 126 170 250,B C C|A B C,2
1,4,118 148 158 164,B B C|A B C,2
1,4,118 148 164 182,B B C|A B C,2
1,4,118 148 164 206,B B C|A B C,2
1,4,118 148 164 254,B B C|A B C,2
1,4,118 152 170 250,B C C|A B C,2
1,4,118 170 194 250,B C C|A B C,2
1,4,118 170 216 250,B C C|A B C,2
1,4,118 170 234 250,B C C|A B C,2
1,4,118 170 250 254,B C C|A B C,2
1,4,120 136 152 208,B B C|A B C,2
1,4,120 136 208 216,B B C|A B C,2
1,4,120 136 216 232,B B C|A B C,2
1,4,120 136 232 248,B B C|A B C,2
1,4,120 208 216 232,B B C|A B C,2
1,4,64 110 122 250,B C C|A B C,2
1,4,64 110 234 250,B C C|A B C,2
1,4,64 118 122 250,B C C|A B C,2
1,4,64 118 234 250,B C C|A B C,2
1,4,64 74 110 250,B C C|A B C,2
1,4,64 74 118 250,B C C|A B C,2
1,4,66 102 114 164,B B C|A B C,2
1,4,66 102 122 244,B B C|A B C,2
1,4,66 102 126 212,B B C|A B C,2
1,4,66 102 126 244,B B C|A B C,2
1,4,66 102 134 164,B B C|A B C,2
1,4,66 102 136 146,B B C|A B C,2
1,4,66 102 136 182,B B C|A B C,2
